ls_vitz;ls_energo
514000449;140109187
514000627;140132190
514000774;140602140
514000805;140603003
514001136;140804091
514001194;140901142
514001500;140908132
514002572;140132188
514002603;140134087
514002637;140134098
514002946;140803149
515000337;154005155
519000698;190211216
519001084;190502088
519001212;190503017
519001628;190602040
519001694;190701108
521000052;210102240
521000060;210102253
521000078;210102305
521000094;210105661
521000434;210401662
521000476;210402072
523002131;231903115
523003365;112901134
523003933;231901080
523004094;230109007
523004175;230103009
523004264;231902010
523004646;230211010
523004670;110906049
523005406;230309126
526000390;1143
526000659;271202049
526000748;15224
526000764;2145
511020741;110904645
511020759;110410297
511021399;110920259
511021488;110204177
511021713;111403167
511021802;110905408
511022989;111104142
511023163;110503334
511023480;110605099
511023634;110905099
511023765;110904207
511024193;111104149
511012895;111105024
511013176;111907018
511013273;110508016
511013451;111104291
511013702;111910503
511013875;110904664
511014766;110501325
511015796;110507365
511015958;110901340
511016734;110403018
511017667;110905136
511017756;111910199
511017895;111116104
515000400;155027050
515000549;155053181
515000743;156003088
515001422;151262165
516000110;160210058
516000178;160210079
516000194;160210082
516000209;160210089
516000720;160405095
516000851;160505113
516001027;160509077
516001190;160807115
511015178;110606066
511015712;110905405
511016718;110905111
511017316;111910270
511017942;110904054
511018100;111910406
511018223;110920442
511018249;111910301
511018605;110904190
511018841;110402238
511019384;111405177
511019423;110405019
511019504;111402005
511021666;111005100
511021860;110920181
511022086;111405251
511022141;110605114
511022183;110407097
511022230;110508242
511022468;110904073
511022654;111905451
511022890;110904771
511022921;110904689
511023082;111401172
511023090;110901344
511023707;110605150
513003622;130710070
513003737;130907116
513003957;130108002
513004026;131503050
513004238;130608166
513004301;130106040
513004521;130610095
513006175;130108215
513006476;130501044
514000180;140105051
514000318;140108078
514000520;140132068
519000266;190211025
519000606;190211188
519000800;190309021
519000842;190310064
519000884;190313259
519001123;190502101
519001327;190503072
519001408;190504079
519001466;190505072
519001589;190601159
522000738;220100353
522000885;220105111
522001001;220110031
511007264;110905296
511007298;110905307
511007329;110905352
511007353;110905377
511007793;110920101
511008359;110920496
511008781;111001142
511008820;111002163
511009020;111101130
511009224;111104124
511009541;111107284
511010209;111403014
511024818;110604212
511024884;111910656
511029410;110407113
511030916;111407170
513000030;130106026
513000161;130108111
513000404;130110075
513000438;130110111
513000501;130210055
513000802;130309183
513001353;130516075
513001646;130517116
513002040;130710048
511018053;111407154
511018142;110514178
511018304;111103189
511019017;111104138
511019588;111403066
511020343;110506357
511020864;110905648
